total_usd,avg_usd,tx_count,active_days,last_action_days_ago,deposit_count,borrow_count,repay_count,redeemunderlying_count,liquidationcall_count,repay_to_borrow_ratio,redeem_to_deposit_ratio,liquidation_rate,tx_per_day,predicted_score,userWallet
1987.663655,1987.663655,1,1,1431,1,0,0,0,0,0,0,0,1,1.604812523,0x00000000001accfa9cef68cf5371a23025b6d4b6
2.85694E+14,2.85694E+14,1,1,1520,1,0,0,0,0,0,0,0,1,866.4411885,0x000000000051d07a4fb3bd10121a343d85818da6
5152310624,2576155312,2,8,1448,2,0,0,0,0,0,0,0,0.25,352.4322106,0x000000000096026fb41fc39f9875d164bd82e2dc
9.8036E+14,5.76682E+13,17,130,1422,0,0,0,17,0,0,17,0,0.130769231,1003.345204,0x0000000000e189dd664b9ab08a33c4839953852c
3.80E+17,9.51753E+14,399,133,1416,250,15,4,130,0,0.25,0.517928287,0,3,1002.248729,0x0000000002032370b971dabd36d72f3e5a7bf1ee
2.30E+16,9.20323E+14,25,40,1458,7,8,5,5,0,0.555555556,0.625,0,0.625,1000.86756,0x000000000a38444e0a6e37d3b630d7e855a7cb13
76376315605,9547039451,8,8,1439,8,0,0,0,0,0,0,0,1,538.1077762,0x000000003853fcedcd0355fec98ca3192833f00b
8.91E+17,1.81073E+15,492,124,1415,309,30,16,137,0,0.516129032,0.441935484,0,3.967741935,1002.039184,0x000000003ce0cf2c037493b1dc087204bd7f713e
1.42161E+11,1.42161E+11,1,1,1504,1,0,0,0,0,0,0,0,1,507.2134688,0x000000007858e6f2668e1e06111cfa24403a5466
1.766652504,1.766652504,1,1,1456,1,0,0,0,0,0,0,0,1,-0.097221843,0x00000001a0f57e850c9db68b4a9bc34677437c5c
2.80E+18,4.05E+16,69,31,1509,26,24,9,10,0,0.36,0.37037037,0,2.225806452,1001.386964,0x0000000506063a51c6ce59906d8c40f7d7fe92a7
9.99E+18,2.13E+17,47,3,1554,12,12,12,11,0,0.923076923,0.846153846,0,15.66666667,998.4528049,0x00000029ff545c86524ade7caf132527707948c4
4.65E+16,1.86146E+14,250,101,1415,86,62,45,57,0,0.714285714,0.655172414,0,2.475247525,1001.713493,0x00000087c4cebffb95746d1935de7fbcab092f40
1.01E+19,3.41E+16,297,138,1415,107,66,63,61,0,0.940298507,0.564814815,0,2.152173913,1002.039184,0x000000e28faa823d5b53ff6c2922c28335840375
1.39E+17,4.96924E+15,28,42,1515,11,4,1,9,3,0.2,0.75,0.103448276,0.666666667,1001.056712,0x000006eee6e39015cb523aebdd4d0b1855aba682
1.692754313,1.692754313,1,1,1454,1,0,0,0,0,0,0,0,1,-0.097221843,0x00000a9c78912badb92d73b6ed26456e11def5eb
53501.44012,13375.36003,4,48,1438,0,0,0,4,0,0,4,0,0.083333333,7.366707277,0x00001bc47f0973f794f79c16121cee879e272d6a
4.92E+18,3.34E+16,147,126,1415,27,47,45,28,0,0.9375,1,0,1.166666667,1001.947086,0x00002b503a75998c97508916a74fdb41934fa030
9.31718E+14,4.65859E+14,2,4,1428,1,0,0,1,0,0,0.5,0,0.5,978.999339,0x0000897253cc85f7547317eb2080b36b3255687a
1.116218296,1.116218296,1,1,1454,1,0,0,0,0,0,0,0,1,-0.097221843,0x0000b252c943089fbba5554a1d196ef79bc77e4f
2.75241E+15,1.96601E+14,14,76,1459,3,1,0,10,0,0,2.5,0,0.184210526,1000.668023,0x0000ce08fa224696a819877070bf378e8b131acf
1.77018E+15,6.10406E+13,29,80,1420,9,6,7,7,0,1,0.7,0,0.3625,1000.216287,0x00010a708585ba4812a1c5976182626c75cb7a6b
3.14576E+12,1.57288E+12,2,2,1460,2,0,0,0,0,0,0,0,1,672.237535,0x00016fc0c9f7620e920e1423fd455f9574f48025
1.00226E+12,1.00226E+12,1,1,1462,1,0,0,0,0,0,0,0,1,625.1818719,0x0002761e848b24046a53d494847b11a3e1d36b09
1.01125061,0.505625305,2,8,1459,2,0,0,0,0,0,0,0,0.25,-1.178434719,0x00027e45436f11ec8549b7d5e0b86748ee61c13d
2.01E+16,5.03368E+15,4,1,1516,1,1,1,1,0,0.5,0.5,0,4,1001.538784,0x0003816b25fd3d6c112eb65c089760fa3f791947
5.51881E+14,1.49157E+13,37,101,1424,12,5,0,20,0,0,1.538461538,0,0.366336634,990.0830251,0x0003bbb966655dc0fbbb380797b07fc547e9ddc5
2098.987308,1049.493654,2,1,1527,1,0,0,1,0,0,0.5,0,2,-0.998050506,0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b
7156.162418,298.1734341,24,83,1415,8,6,5,5,0,0.714285714,0.555555556,0,0.289156627,3.737560181,0x0003f46779806fe779e7f30eec95dbdb4d45840b
3378.865539,337.8865539,10,83,1416,2,3,1,4,0,0.25,1.333333333,0,0.120481928,2.144719721,0x0004849537dab5c33fc8c494d05313dfbe2d99f3
2.74176E+15,1.37088E+15,2,1,1417,1,1,0,0,0,0,0,0,2,1004.020188,0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b
1.16098E+14,1.93497E+13,6,1,1518,2,1,1,2,0,0.5,0.666666667,0,6,922.3299183,0x0004d4112ee696dabc22b221bef156ecdaeb1a59
1.58555E+15,2.26507E+14,7,1,1499,1,1,1,4,0,0.5,2,0,7,1000.843978,0x0005696d4be2359526c497fe4a4c0620b41f2426
1.064852576,1.064852576,1,1,1464,1,0,0,0,0,0,0,0,1,-1.252323715,0x000660cad76200a2e326f53e033919905e6c50f5
1.15368E+12,1.15368E+12,1,1,1457,1,0,0,0,0,0,0,0,1,633.2115245,0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54
2.61751E+12,1.30876E+12,2,10,1461,2,0,0,0,0,0,0,0,0.2,666.5511983,0x00080000158a9930aeb508823103b0a977161c47
1.05815E+12,5.29074E+11,2,8,1458,2,0,0,0,0,0,0,0,0.25,623.8314338,0x00099b1263c22ae2ce0a52624cef2a012e751970
32446847156,32446847156,1,1,1539,1,0,0,0,0,0,0,0,1,381.1306108,0x0009ce45d5df78e632a0b4987079432dfba2253a
875.3715109,72.94762591,12,34,1474,4,2,2,4,0,0.666666667,0.8,0,0.352941176,3.93022806,0x000a27ba176083e4b50177378cbe7469a00dd557
5.21E+16,1.21265E+15,43,26,1481,18,8,5,12,0,0.555555556,0.631578947,0,1.653846154,1000.486528,0x000a3d1bef684a7c029267a26068de56b1c1b4dc
1.25018E+11,62508808661,2,1,1438,1,1,0,0,0,0,0,0,2,550.4135634,0x000ab43e658935ba39504a1424b01756c1e9644c
6.2148E+14,8.07117E+12,77,124,1420,49,0,0,28,0,0,0.56,0,0.620967742,975.8597273,0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb
